Ref,Val,Package,PosX,PosY,Rot,Side
"C16","0.1μ","chip1608",130.100680,-50.401100,180.000000,bottom
"C17","0.1μ50V","chip1608",130.100680,-43.401100,180.000000,bottom
"U8","MPU6500","MPU6500",129.900680,-46.901100,270.000000,bottom
"C1","0.1μ","chip1608",176.000680,-40.901200,270.000000,top
"C2","10μ","chip1608",110.100680,-37.801100,90.000000,top
"C3","100μ","chip3216",132.060680,-46.931100,0.000000,top
"C4","0.1μ","chip1608",122.600680,-41.001100,0.000000,top
"C5","0.1μ","chip1608",125.400680,-41.001100,180.000000,top
"C6","10μ","chip1608",129.200680,-43.301100,90.000000,top
"C7","10μ","chip1608",108.700680,-37.801100,90.000000,top
"C8","0.1μ","chip1608",130.400680,-43.301100,90.000000,top
"C9","10μ","chip1608",109.800680,-55.601100,0.000000,top
"C10","10μ","chip1608",109.800680,-56.901100,0.000000,top
"C11","0.1μ","chip1608",128.700680,-50.501100,90.000000,top
"C12","10μ","chip1608",119.500680,-51.901100,270.000000,top
"C13","0.1μ","chip1608",120.700680,-52.601100,270.000000,top
"C14","10μ","chip1608",119.900680,-54.601100,0.000000,top
"C15","10μ","chip1608",116.700680,-50.601100,0.000000,top
"C18","0.1μ","chip1608",176.000680,-52.901000,270.000000,top
"C19","0.1μ","chip1608",176.590680,-26.721100,0.000000,top
"D5","LED","chip1608",131.700680,-48.501100,0.000000,top
"D6","LED","chip1608",131.700680,-49.701100,0.000000,top
"D7","LED","chip1608",131.700680,-50.901100,0.000000,top
"D8","LED","chip1608",131.700680,-52.101100,0.000000,top
"D9","LED","chip1608",109.200680,-48.401100,270.000000,top
"D10","LED","chip1608",173.590680,-26.721100,180.000000,top
"L1","47μH","Inductor",141.300680,-40.701100,90.000000,top
"L2","47μH","Inductor",141.300680,-53.101100,270.000000,top
"P5","CHRG&USART","SH_4pin",143.400680,-46.901100,270.000000,top
"Q5","IRLML6344TRPBFTR","IRLML6344TRPbF",121.800680,-38.101100,0.000000,top
"Q6","IRLML6344TRPBFTR","IRLML6344TRPbF",112.500680,-38.601100,90.000000,top
"Q7","IRLML6344TRPBFTR","IRLML6344TRPbF",112.900680,-53.001100,90.000000,top
"Q8","IRLML6344TRPBFTR","IRLML6344TRPbF",120.000680,-57.001100,90.000000,top
"R1","1k","chip1608",121.900680,-35.601100,0.000000,top
"R2","1k","chip1608",106.900680,-46.201100,0.000000,top
"R3","1k","chip1608",106.900680,-47.601100,0.000000,top
"R4","1k","chip1608",122.700680,-57.601100,90.000000,top
"R5","10k","chip1608",145.600680,-44.001100,180.000000,top
"R6","1k","chip1608",118.400680,-35.901100,0.000000,top
"R7","100k","chip1608",118.400680,-37.301100,180.000000,top
"R8","10","chip1608",118.400680,-34.501100,0.000000,top
"R9","1k","chip1608",115.200680,-38.701100,270.000000,top
"R10","100k","chip1608",113.800680,-41.001100,180.000000,top
"R11","10","chip1608",110.900680,-40.701100,90.000000,top
"R12","1k","chip1608",112.900680,-55.701100,0.000000,top
"R13","100k","chip1608",116.900680,-57.001100,0.000000,top
"R14","10","chip1608",110.400680,-54.101100,0.000000,top
"R15","1k","chip1608",122.600680,-54.101100,270.000000,top
"R16","100k","chip1608",124.000680,-54.101100,90.000000,top
"R17","10","chip1608",117.300680,-58.701100,0.000000,top
"R18","10k","chip1608",115.700680,-42.401100,90.000000,top
"R19","10k","chip1608",118.500680,-42.401100,90.000000,top
"R20","1k","chip1608",134.500680,-48.501100,180.000000,top
"R21","1k","chip1608",134.500680,-49.701100,180.000000,top
"R22","1k","chip1608",134.500680,-50.901100,180.000000,top
"R23","1k","chip1608",134.500680,-52.101100,180.000000,top
"R24","1k","chip1608",109.200680,-45.401100,90.000000,top
"R25","1k","chip1608",170.590680,-31.721100,180.000000,top
"R26","1k","chip1608",170.590680,-26.721100,0.000000,top
"R27","1k","chip1608",170.590680,-30.221100,0.000000,top
"R28","1k","chip1608",170.590680,-28.721100,180.000000,top
"SW1","KMR211GLFS","KMR211G",145.800680,-47.801100,270.000000,top
"U1","MA300","MA300",173.400680,-40.901100,270.000000,top
"U2","ENCODER_CONNECT_IC","ENC_CONN_VART",177.000680,-40.902240,90.000000,top
"U3","DRV8836","DRV8836",134.400680,-43.101100,180.000000,top
"U4","STM32F411CEU6","STM32F411CEU6",123.900680,-46.901100,270.000000,top
"U5","ENCODER_CONNECT_PCB","ENC_CONN_FLAT",129.900680,-39.401100,180.000000,top
"U6","ENCODER_CONNECT_PCB","ENC_CONN_FLAT",129.900680,-54.401100,0.000000,top
"U7","LTC4054L-4.2","SOT23",175.700680,-29.701100,90.000000,top
"U9","MA300","MA300",173.400680,-52.901100,270.000000,top
"U10","ENCODER_CONNECT_IC","ENC_CONN_VART",177.000680,-52.901100,90.000000,top
"U11","LP5907","SOT23",116.300680,-53.801100,270.000000,top
